date,close,volume,open,high,low
2019-02-04,49.13,3370589.0,47.96,49.14,47.75
2019-02-01,48.45,5201088.0,47.67,48.67,47.16
2019-01-31,47.33,4477278.0,48.09,48.12,46.86
2019-01-30,47.83,3436764.0,47.01,47.92,46.58
2019-01-29,46.46,3702751.0,46.84,47.1003,46.345
2019-01-28,46.45,4711938.0,46.01,46.5,45.6
2019-01-25,46.89,3089689.0,46.7,47.35,46.55
2019-01-24,46.25,4632399.0,45.74,46.73,45.45
2019-01-23,45.88,6872067.0,47.45,47.47,45.301
2019-01-22,47.08,3904691.0,48.06,48.31,46.89
2019-01-18,48.67,5425199.0,48.58,49.24,48.19
2019-01-17,48.05,4720604.0,46.25,48.36,45.96
2019-01-16,46.79,5654968.0,47.31,47.67,46.45
2019-01-15,47.53,3460303.0,47.64,48.26,47.36
2019-01-14,47.15,5464257.0,47.02,47.48,46.62
2019-01-11,47.65,3356693.0,47.83,47.84,47.34
2019-01-10,48.33,3226635.0,47.35,48.45,47.01
2019-01-09,47.91,4867726.0,47.83,48.82,47.35
2019-01-08,47.34,4656720.0,47.83,48.27,46.9
2019-01-07,46.99,4713179.0,46.72,47.63,46.1
2019-01-04,46.26,5749020.0,45.53,46.66,45.2575
2019-01-03,44.46,4340070.0,44.85,45.5,43.62
2019-01-02,44.69,5508821.0,42.9,44.9,42.25
2018-12-31,43.84,3628984.0,43.49,44.13,43.09
2018-12-28,43.2,3964745.0,44.18,44.35,42.94
2018-12-27,43.97,4751795.0,43.03,43.97,42.02
2018-12-26,43.85,5271503.0,41.01,43.88,40.4
2018-12-24,40.57,3429511.0,42.33,42.5,40.56
2018-12-21,42.95,9630398.0,43.81,44.5,42.81
2018-12-20,44.15,9801066.0,46.03,46.34,43.93
2018-12-19,46.79,6775848.0,47.6,48.59,46.49
2018-12-18,47.13,6079674.0,49.55,49.69,47.05
2018-12-17,49.58,4669278.0,50.66,51.28,49.23
2018-12-14,50.95,3950053.0,51.95,52.56,50.66
2018-12-13,52.49,6736347.0,52.42,53.18,51.96
2018-12-12,52.56,5919320.0,52.48,53.88,52.48
2018-12-11,51.64,6957019.0,51.82,52.9,51.35
2018-12-10,51.06,5019558.0,51.4,51.72,49.3199
2018-12-07,52.06,5297518.0,53.42,54.7,51.95
2018-12-06,51.59,5013904.0,51.09,51.765,50.2633
2018-12-04,52.98,4273376.0,55.39,55.82,52.73
2018-12-03,55.47,4907165.0,54.89,55.54,54.23
2018-11-30,52.9,5736866.0,53.1,53.54,52.23
2018-11-29,53.7,4410996.0,53.17,54.21,52.88
2018-11-28,52.53,3919431.0,51.81,52.65,51.28
2018-11-27,51.97,4152231.0,52.24,52.71,51.72
2018-11-26,52.37,3331836.0,52.24,52.86,52.02
2018-11-23,51.62,2404118.0,51.73,52.31,51.33
2018-11-21,53.57,4801987.0,52.87,54.61,52.73
2018-11-20,52.35,5985803.0,54.35,54.61,52.13
2018-11-19,55.61,7740837.0,54.71,56.31,54.14
2018-11-16,56.38,8500517.0,56.08,56.81,55.72
2018-11-15,55.51,5137197.0,53.94,55.715,53.74
